Source,Target,Type,Weight
asistentes matemáticos,tecnología,Undirected,1
asistentes matemáticos,triángulo de chevallard,Undirected,1
didáctica,enseñanza de la matemática,Undirected,1
didáctica,tecnología,Undirected,1
didáctica,triángulo de chevallard,Undirected,1
enseñanza de la matemática,tecnología,Undirected,1
enseñanza de la matemática,triángulo de chevallard,Undirected,1
tecnología,triángulo de chevallard,Undirected,1
ambiente de solución colaborativa en línea de problemas,aprendizaje colaborativo asistido porcomputadora,Undirected,1
ambiente de solución colaborativa en línea de problemas,collaborative online problem solving (cops),Undirected,1
ambiente de solución colaborativa en línea de problemas,computer supported collaborativelearning (cscl),Undirected,1
ambiente de solución colaborativa en línea de problemas,web2.0,Undirected,1
aprendizaje colaborativo asistido porcomputadora,collaborative online problem solving (cops),Undirected,1
aprendizaje colaborativo asistido porcomputadora,computer supported collaborativelearning (cscl),Undirected,1
aprendizaje colaborativo asistido porcomputadora,web2.0,Undirected,1
collaborative online problem solving (cops),computer supported collaborativelearning (cscl),Undirected,1
collaborative online problem solving (cops),web2.0,Undirected,1
computer supported collaborativelearning (cscl),web2.0,Undirected,1
aprendizajereforzado,q-learning,Undirected,1
aprendizajereforzado,secuenciación,Undirected,1
q-learning,secuenciación,Undirected,1
reglas de negocio,reglas en lenguaje técnico,Undirected,1
reglas de negocio,reglas en sql,Undirected,1
reglas en lenguaje técnico,reglas en sql,Undirected,1
random matrix over finite fields,random matrix products,Undirected,1
random matrix over finite fields,vector,Undirected,1
random matrix products,vector,Undirected,1
automatización de la información,gestión del conocimiento,Undirected,1
automatización de la información,gestión documental,Undirected,1
gestión del conocimiento,gestión documental,Undirected,1
estimación temporal,gestión de proyectos de software,Undirected,1
estimación temporal,variables de estimación,Undirected,1
gestión de proyectos de software,variables de estimación,Undirected,1
bases de datos,diagramas,Undirected,1
bases de datos,diseño correcto,Undirected,1
bases de datos,modelo relacional,Undirected,1
diagramas,diseño correcto,Undirected,1
diagramas,modelo relacional,Undirected,1
diseño correcto,modelo relacional,Undirected,1
dirección integrada,gestión de contenidos,Undirected,1
dirección integrada,gestión de proyectos,Undirected,1
dirección integrada,project management,Undirected,1
dirección integrada,software engineering projects,Undirected,1
dirección integrada,software product lines,Undirected,1
gestión de contenidos,gestión de proyectos,Undirected,1
gestión de contenidos,project management,Undirected,1
gestión de contenidos,software engineering projects,Undirected,1
gestión de contenidos,software product lines,Undirected,1
gestión de proyectos,project management,Undirected,1
gestión de proyectos,software engineering projects,Undirected,1
gestión de proyectos,software product lines,Undirected,1
project management,software engineering projects,Undirected,1
project management,software product lines,Undirected,1
software engineering projects,software product lines,Undirected,1
coe(cid:222) cientes efectivos,coordenadas curvil(cid:237)neas,Undirected,1
coe(cid:222) cientes efectivos,homogeneizaci(cid:243)n asint(cid:243)tica,Undirected,1
coe(cid:222) cientes efectivos,materiales compuestos,Undirected,1
coordenadas curvil(cid:237)neas,homogeneizaci(cid:243)n asint(cid:243)tica,Undirected,1
coordenadas curvil(cid:237)neas,materiales compuestos,Undirected,1
homogeneizaci(cid:243)n asint(cid:243)tica,materiales compuestos,Undirected,1
análisis envolvente de datos (dea),indicadores sintéticos,Undirected,1
análisis envolvente de datos (dea),sostenibilidad,Undirected,1
análisis envolvente de datos (dea),turismo de naturaleza,Undirected,1
indicadores sintéticos,sostenibilidad,Undirected,1
indicadores sintéticos,turismo de naturaleza,Undirected,1
sostenibilidad,turismo de naturaleza,Undirected,1
gases de efecto invernadero,multicolinealidad,Undirected,1
gases de efecto invernadero,regresión con componentes principales,Undirected,1
gases de efecto invernadero,regresión paso a paso,Undirected,1
gases de efecto invernadero,regresión por mínimos cuadrados parciales,Undirected,1
multicolinealidad,regresión con componentes principales,Undirected,1
multicolinealidad,regresión paso a paso,Undirected,1
multicolinealidad,regresión por mínimos cuadrados parciales,Undirected,1
regresión con componentes principales,regresión paso a paso,Undirected,1
regresión con componentes principales,regresión por mínimos cuadrados parciales,Undirected,1
regresión paso a paso,regresión por mínimos cuadrados parciales,Undirected,1
análisis matemático,competencias,Undirected,1
análisis matemático,competencias cognitivas,Undirected,1
análisis matemático,tic,Undirected,1
competencias,competencias cognitivas,Undirected,1
competencias,tic,Undirected,2
competencias cognitivas,tic,Undirected,1
ana´lisis de intervalos,optimización global,Undirected,1
ana´lisis de intervalos,procesamiento paralelo,Undirected,1
optimización global,procesamiento paralelo,Undirected,1
ajuste,estabilidad,Undirected,1
ajuste,metaheurística,Undirected,1
ajuste,polinomioimplícito,Undirected,1
estabilidad,metaheurística,Undirected,1
estabilidad,polinomioimplícito,Undirected,1
metaheurística,polinomioimplícito,Undirected,1
branch-and-bound,nonconcave quadratic optimization,Undirected,1
branch-and-bound,nonconvex quadratic programming,Undirected,1
branch-and-bound,parametric optimization,Undirected,1
branch-and-bound,positive semidefinite relaxation,Undirected,1
branch-and-bound,semidefinite programming,Undirected,1
nonconcave quadratic optimization,nonconvex quadratic programming,Undirected,1
nonconcave quadratic optimization,parametric optimization,Undirected,1
nonconcave quadratic optimization,positive semidefinite relaxation,Undirected,1
nonconcave quadratic optimization,semidefinite programming,Undirected,1
nonconvex quadratic programming,parametric optimization,Undirected,1
nonconvex quadratic programming,positive semidefinite relaxation,Undirected,1
