Source,Target,Type,Weight
María del Carmen Rivalta Valladares,Yasser Martin Guillén,Undirected,1
Mercedes M. Leal Acosta,Nelson Tomás Hernández Reyes,Undirected,1
Mercedes M. Leal Acosta,Yasser Martin Guillén,Undirected,1
Nelson Tomás Hernández Reyes,Yasser Martin Guillén,Undirected,1
Annia Valiente Monte de Oca,Antonio Iván Ruiz Chaveco,Undirected,1
Annia Valiente Monte de Oca,Isabel Martén Powell,Undirected,1
Annia Valiente Monte de Oca,Sandy Sánchez Domínguez,Undirected,1
Camilo Mora Batista,Rafael M. Ávila Ávila,Undirected,1
Camilo Mora Batista,Rosa Isabel Urquiza Salgado,Undirected,1
Camilo Mora Batista,Éfren Vázquez Silva,Undirected,1
Rafael M. Ávila Ávila,Rosa Isabel Urquiza Salgado,Undirected,1
Rafael M. Ávila Ávila,Éfren Vázquez Silva,Undirected,1
Rosa Isabel Urquiza Salgado,Éfren Vázquez Silva,Undirected,1
Luis Manuel Ávila Nápolez,Rafael M. Ávila Ávila,Undirected,1
Luis Manuel Ávila Nápolez,Ricardo Abreu Blaya,Undirected,1
Rafael M. Ávila Ávila,Ricardo Abreu Blaya,Undirected,1
Dr.C. José Fidel Hernández Advíncula,MSc. Beatriz Pérez López,Undirected,1
Eduardo Quesada Orozco,Frankie Mujica Cal,Undirected,1
Eduardo Quesada Orozco,Joanna Campbell Amos,Undirected,1
Frankie Mujica Cal,Joanna Campbell Amos,Undirected,1
Dra. Lydia Castro Odio,Dra. Marta Lourdes Baguer Díaz-Romañach,Undirected,1
Dra. Lydia Castro Odio,Iosvanny Jesús Alfonso Veloso,Undirected,1
Dra. Marta Lourdes Baguer Díaz-Romañach,Iosvanny Jesús Alfonso Veloso,Undirected,1
Juana E. Bermúdez Sosa,Miguel Angel Borges Trenard,Undirected,1
Luis A. Salomón Hernández,Rolando J. Biscay Lirio,Undirected,1
Lilian Muñiz Álvarez,Rolando J. Biscay Lirio,Undirected,1
Jorge Erick López Velázquez,Julián Bravo Castillero,Undirected,1
Jorge Erick López Velázquez,Reinaldo Rodr(cid:237)guez Ramos,Undirected,1
Andro Gonzáles,Dr. Lorgio F. Batard Martínez,Undirected,1
Andro Gonzáles,Otilio B. Mederos Anoceto,Undirected,1
Dr. Lorgio F. Batard Martínez,Otilio B. Mederos Anoceto,Undirected,1
Dra. Elina Miret Barroso,Gladys Linares Fleites,Undirected,1
Dra. Elina Miret Barroso,María V. Mederos Brú,Undirected,1
Gladys Linares Fleites,María V. Mederos Brú,Undirected,1
Esperanza García Santoyo,Federico J. Sabina,Undirected,1
Esperanza García Santoyo,Julián Bravo Castillero,Undirected,1
Esperanza García Santoyo,Raúl Martínez Rosado,Undirected,1
Esperanza García Santoyo,Reinaldo Rodr(cid:237)guez Ramos,Undirected,1
Federico J. Sabina,Julián Bravo Castillero,Undirected,1
Federico J. Sabina,Raúl Martínez Rosado,Undirected,1
Federico J. Sabina,Reinaldo Rodr(cid:237)guez Ramos,Undirected,1
Julián Bravo Castillero,Raúl Martínez Rosado,Undirected,1
Raúl Martínez Rosado,Reinaldo Rodr(cid:237)guez Ramos,Undirected,1
Alberto Fernández Oliva,Kevin Talavera Díaz,Undirected,2
Alberto Fernández Oliva,Suilán Estévez Velarde,Undirected,4
Kevin Talavera Díaz,Suilán Estévez Velarde,Undirected,2
Adriana Díaz Cordero,Valentina Badía Albanés,Undirected,1
Alberto Fernández Oliva,Alejandro Piad Morffis,Undirected,2
Alberto Fernández Oliva,Lia de la Concepción Zerquera Ferrer,Undirected,2
Alejandro Piad Morffis,Lia de la Concepción Zerquera Ferrer,Undirected,2
Alejandro Piad Morffis,Suilán Estévez Velarde,Undirected,2
Lia de la Concepción Zerquera Ferrer,Suilán Estévez Velarde,Undirected,2
Adolfo Arsenio Fernández García,Jorly Alberto Pérez Pérez,Undirected,1
Adolfo Arsenio Fernández García,Leticia Cristina Bequer Mendoza,Undirected,1
Adolfo Arsenio Fernández García,Sandy Sánchez Domínguez,Undirected,2
Adolfo Arsenio Fernández García,Tahiry Gómez Hernández,Undirected,1
Jorly Alberto Pérez Pérez,Leticia Cristina Bequer Mendoza,Undirected,1
Jorly Alberto Pérez Pérez,Sandy Sánchez Domínguez,Undirected,1
Jorly Alberto Pérez Pérez,Tahiry Gómez Hernández,Undirected,1
Leticia Cristina Bequer Mendoza,Sandy Sánchez Domínguez,Undirected,1
Leticia Cristina Bequer Mendoza,Tahiry Gómez Hernández,Undirected,1
Sandy Sánchez Domínguez,Tahiry Gómez Hernández,Undirected,1
"Flores López, W. O.","García Rojas, Pedro",Undirected,1
Aymée de los Ángeles Marrero Severo,Ernesto Alfonso Hernández,Undirected,1
Frank Sadan Naranjo-Noda,Juan Carlos Jiménez Sobrino,Undirected,1
Ana Margarita Solares Asteasuainzarra,Daniel Alejandro Valdés Pérez,Undirected,1
Ana Margarita Solares Asteasuainzarra,Dra. Marta Lourdes Baguer Díaz-Romañach,Undirected,1
Ana Margarita Solares Asteasuainzarra,Lauren Jimenez-Martin,Undirected,1
Ana Margarita Solares Asteasuainzarra,Ludwig Leonard Méndez,Undirected,1
Daniel Alejandro Valdés Pérez,Dra. Marta Lourdes Baguer Díaz-Romañach,Undirected,1
