Source,Target
Ernesto Quevedo Caballero,"DepartamentodeMatemáticaAplicada,UniversidaddeLaHabana,LaHabana,Cuba"
Ernesto Quevedo Caballero,"UniversidaddeLaHabana,LaHabana,Cuba"
José E. Valdés Castro,"DepartamentodeMatemáticaAplicada,UniversidaddeLaHabana,LaHabana,Cuba"
José E. Valdés Castro,"UniversidaddeLaHabana,LaHabana,Cuba"
Marelys Crespo Navas,"DepartamentodeMatemáticaAplicada,UniversidaddeLaHabana,LaHabana,Cuba"
Marelys Crespo Navas,"UniversidaddeLaHabana,LaHabana,Cuba"
Nancy Perez,"Dirección de Ensayos Clínicos, Centro de Inmunología Molecular, La Habana, Cuba"
Nancy Perez,"Facultad de Geografía, Universidad de La Habana, La Habana, Cuba"
Nancy Perez,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Paula Fonte,"Dirección de Ensayos Clínicos, Centro de Inmunología Molecular, La Habana, Cuba"
Paula Fonte,"Facultad de Geografía, Universidad de La Habana, La Habana, Cuba"
Paula Fonte,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Lizet Sánchez Valdés,"Dirección de Ensayos Clínicos, Centro de Inmunología Molecular, La Habana, Cuba"
Lizet Sánchez Valdés,"Facultad de Geografía, Universidad de La Habana, La Habana, Cuba"
Lizet Sánchez Valdés,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Antonio Torres-Reyes,"Dirección de Ensayos Clínicos, Centro de Inmunología Molecular, La Habana, Cuba"
Antonio Torres-Reyes,"Facultad de Geografía, Universidad de La Habana, La Habana, Cuba"
Antonio Torres-Reyes,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Patricia Lorenzo-Luaces Álvarez,"Dirección de Ensayos Clínicos, Centro de Inmunología Molecular, La Habana, Cuba"
Patricia Lorenzo-Luaces Álvarez,"Facultad de Geografía, Universidad de La Habana, La Habana, Cuba"
Patricia Lorenzo-Luaces Álvarez,"Facultad de Matemática y Computación, Universidad de La Habana, La Habana, Cuba"
Gemayqzel Bouza Allende,"Departamento de Matemática Aplicada, Universidad de La Habana, Cuba"
